ID,microchip,speice,sex,size,potenciallyDangrous,neighborhood
09401-CHMSI-SIN IDENTIFICAR,978101081209401,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9410-CMMSI-SIN IDENTIFICAR,978101081209410,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9412-FHMSI-SIN IDENTIFICAR,978101081209412,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9415-CHMSI-SIN IDENTIFICAR,978101081209415,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9417-CMMSI-SIN IDENTIFICAR,978101081209417,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
09424-CHMSI-SIN IDENTIFICAR,978101081209424,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
09470-CMMSI-SIN IDENTIFICAR,978101081209470,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
09482-CHMSI-SIN IDENTIFICAR,978101081209482,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
504-CHMSI-SIN IDENTIFICAR,978101081209504,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
09532-CMMSI-SIN IDENTIFICAR,978101081209532,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
533-CHMSI-SIN IDENTIFICAR,978101081209533,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
09597-FHMSI-SIN IDENTIFICAR,978101081209597,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9605-CMMSI-SIN IDENTIFICAR,978101081209605,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
09665-CHMSI-SIN IDENTIFICAR,978101081209665,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9667-CMMSI-SIN IDENTIFICAR,978101081209667,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9693-CMMSI-SIN IDENTIFICAR,978101081209693,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9711-CMMSI-SIN IDENTIFICAR,978101081209711,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9738-CMMSI-SIN IDENTIFICAR,978101081209738,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9775-FMMSI-SIN IDENTIFICAR,978101081209775,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9777-CMMSI-SIN IDENTIFICAR,978101081209777,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9786-CMMSI-SIN IDENTIFICAR,978101081209786,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
09795-CMMSI-SIN IDENTIFICAR,978101081209795,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
805-FMMSI-SIN IDENTIFICAR,978101081209805,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
09812-CHMSI-SIN IDENTIFICAR,978101081209812,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
09816-CHMSI-SIN IDENTIFICAR,978101081209816,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
830-FMMSI-SIN IDENTIFICAR,978101081209830,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9837-CMMSI-SIN IDENTIFICAR,978101081209837,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9846-CMMSI-SIN IDENTIFICAR,978101081209846,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9854-CHMSI-SIN IDENTIFICAR,978101081209854,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
09858-CMMSI-SIN IDENTIFICAR,978101081209858,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9869-CHMSI-SIN IDENTIFICAR,978101081209869,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
880-FHMSI-SIN IDENTIFICAR,978101081209880,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9881-FHMSI-SIN IDENTIFICAR,978101081209881,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9887-CHMSI-SIN IDENTIFICAR,978101081209887,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9892-CHMSI-SIN IDENTIFICAR,978101081209892,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9908-CMMSI-SIN IDENTIFICAR,978101081209908,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
9941-CHMSI-SIN IDENTIFICAR,978101081209941,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9952-CHMSI-SIN IDENTIFICAR,978101081209952,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
9968-CHMSI-SIN IDENTIFICAR,978101081209968,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
10001-FMMSI-SIN IDENTIFICAR,978101081210001,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0010-CHMSI-SIN IDENTIFICAR,978101081210010,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0027-CMMSI-SIN IDENTIFICAR,978101081210027,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0049-FHMSI-SIN IDENTIFICAR,978101081210049,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0106-CMMSI-SIN IDENTIFICAR,978101081210106,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
10133-CHMSI-SIN IDENTIFICAR,978101081210133,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0137-CHMSI-SIN IDENTIFICAR,978101081210137,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
